serijska_stevilka,znamka,model,prevozeni_kilometri,gorivo,velikost_motorja,kW,cena
1375,Opel,Insignia,188500,diesel,1956,96,7700
1376,Opel,Astra,280000,diesel,1686,81,2100
1377,Opel,Meriva,25000,bencinski,1364,88,11750
1378,Opel,Corsa,123566,diesel,1248,55,4822
1379,Opel,Astra,228000,diesel,1910,88,3490
1380,Opel,Agila,164000,diesel,1300,55,4200
1381,Opel,Meriva,34000,diesel,1686,81,8990
1382,Opel,Astra,216000,diesel,1686,59,2400
1383,Opel,Corsa,43000,bencinski,1398,66,7590
1384,Opel,Astra,200000,bencinski,1998,85,1000
1385,Opel,Insignia,106108,diesel,1956,88,10450
1386,Opel,Corsa,104334,bencinski,1398,74,5990
1387,Opel,Insignia,190700,diesel,1956,88,9850
1388,Opel,Zafira,131641,diesel,1956,96,10990
1389,Opel,Astra,173000,bencinski,1598,74,1890
1390,Opel,Astra,138000,bencinski,1598,85,4999
1391,Opel,Astra,138000,bencinski,1364,66,3290
1392,Opel,Zafira,115000,bencinski,1598,85,6050
1393,Peugeot,407,229000,diesel,2700,150,2990
1394,Peugeot,307,240150,diesel,1997,100,2690
1395,Peugeot,307,153000,bencinski,1587,80,2090
1396,Peugeot,308,159000,diesel,1560,68,5990
1397,Peugeot,508,201058,diesel,1997,120,10000
1398,Peugeot,206,133450,bencinski,1360,55,1450
1399,Peugeot,308,27898,bencinski,1199,96,13950
1400,Peugeot,5008,130000,diesel,1997,110,11900
1401,Peugeot,308,101800,diesel,1997,110,9490
1402,Peugeot,407,235800,diesel,1560,80,3150
1403,Peugeot,308,199000,bencinski,1598,110,3490
1404,Peugeot,508,129896,diesel,1997,103,11990
1405,Peugeot,5008,111002,diesel,1560,84,10650
1406,Peugeot,2008,155230,diesel,1560,68,8770
1407,Peugeot,5008,199842,diesel,1560,84,6750
1408,Peugeot,307,264700,diesel,1997,79,1550
1409,Peugeot,2008,87000,diesel,1560,68,9800
1410,Peugeot,308,66000,bencinski,1598,88,6370
1411,Peugeot,308,130000,diesel,1997,110,10200
1412,Peugeot,508,208532,diesel,1997,103,6935
1413,Peugeot,508,120000,diesel,1560,84,10550
1414,Peugeot,207,97000,bencinski,1360,54,2300
1415,Peugeot,307,255742,diesel,1560,80,3190
1416,Peugeot,5008,188500,diesel,1560,84,6990
1417,Peugeot,107,130308,bencinski,998,50,2990
1418,Peugeot,4007,206884,diesel,2179,115,6900
1419,Peugeot,4007,212410,diesel,2179,115,6500
1420,Peugeot,508,125000,diesel,1997,110,12500
1421,Peugeot,3008,144589,diesel,1560,84,9890
1422,Peugeot,207,187000,diesel,1398,50,2700
1423,Peugeot,508,234000,diesel,1560,84,7650
1424,Peugeot,207,139234,bencinski,1360,54,3990
1425,Peugeot,308,135000,diesel,1560,82,9990
1426,Peugeot,307,261000,diesel,1997,79,1090
1427,Peugeot,308,136000,diesel,1560,73,8600
1428,Peugeot,206,157000,bencinski,1587,80,2450
1429,Peugeot,206,69000,bencinski,1360,55,2490
1430,Peugeot,207,107000,bencinski,1360,54,4950
1431,Peugeot,206,263187,diesel,1398,50,1790
1432,Peugeot,3008,75000,diesel,1560,84,11690
1433,Renault,Megane,213000,bencinski,1598,82,1550
1434,Renault,Clio,57826,bencinski,1149,54,7990
1435,Renault,Clio,121900,diesel,1461,55,6390
1436,Renault,Clio,73610,bencinski,1149,55,1800
1437,Renault,Captur,99300,bencinski,898,66,9200
1438,Renault,Megane,220000,diesel,1461,81,3300
1439,Renault,Megane,153182,bencinski,1390,72,2100
1440,Renault,Megane,300000,diesel,1870,88,1300
1441,Renault,Captur,16600,bencinski,1197,87,11000
1442,Renault,Kangoo,165000,diesel,1461,60,1850
1443,Renault,Laguna,177000,diesel,1870,85,1170
1444,Renault,Clio,156000,diesel,1461,60,1300
1445,Renault,Twingo,67500,bencinski,1149,56,2890
1446,Renault,Clio,193000,bencinski,1149,43,1190
1447,Renault,Clio,116000,bencinski,1598,94,4990
1448,Renault,Kangoo,211230,diesel,1461,62,2900
1449,Renault,Scenic,230000,diesel,1461,78,1850
1450,Renault,Espace,128741,diesel,1598,118,19990
1451,Renault,Twingo,56700,bencinski,1149,43,3890
1452,Renault,Clio,156100,diesel,1461,48,1350
1453,Renault,Clio,191000,bencinski,1390,72,1050
1454,Renault,Clio,179500,bencinski,1390,72,2790
1455,Renault,Megane,271000,diesel,1461,81,3999
1456,Renault,Megane,129936,diesel,1461,81,8680
1457,Renault,Clio,226000,bencinski,1149,55,1300
1458,Renault,Megane,225181,diesel,1870,96,1290
1459,Renault,Captur,9460,bencinski,898,66,11400
1460,Renault,Scenic,134000,diesel,1461,81,8990
1461,Renault,Megane,233000,bencinski,1397,96,3650
1462,Renault,Captur,3800,diesel,1461,66,15600
1463,Renault,Megane,53000,diesel,1598,120,17500
1464,Suzuki,Grand,134546,bencinski,1590,69,2700
1465,Suzuki,SX4,53173,diesel,1598,88,16200
1466,Suzuki,Grand,197480,diesel,1870,95,6990
1467,Suzuki,Swift,103000,bencinski,1328,68,4650
1468,Suzuki,Jimny,181000,bencinski,1298,59,3850
1469,Suzuki,SX4,175000,diesel,1956,99,6990
1470,Suzuki,Samurai,153000,bencinski,1298,52,1990
1471,Suzuki,SX4,104200,diesel,1910,88,6150
1472,Suzuki,SX4,4700,bencinski,1373,103,20590
1473,Suzuki,SX4,85933,bencinski,1586,88,14790
1474,Suzuki,SX4,159800,bencinski,1586,79,6870
1475,Suzuki,Vitara,11000,bencinski,1598,88,18290
1476,Suzuki,Vitara,115020,diesel,1598,88,13999
1477,Suzuki,Grand,212758,diesel,1870,95,7950
1478,Suzuki,Grand,146969,diesel,1870,95,7950
1479,Suzuki,Ignis,200000,bencinski,1328,69,1590
1480,Suzuki,Grand,240000,bencinski,1995,103,6390
1481,Suzuki,SX4,134851,diesel,1956,99,8999
1482,Suzuki,SX4,134851,diesel,1956,99,8999
1483,Suzuki,Wagon,174000,bencinski,1328,69,2350
1484,Suzuki,Vitara,109542,bencinski,1590,59,4850
1485,Suzuki,SX4,155000,diesel,1910,88,6950
1486,Toyota,RAV4,201000,diesel,1995,85,2790
1487,Toyota,Land,280000,diesel,2982,92,10000
1488,Toyota,RAV4,162500,diesel,2231,100,6300
1489,Toyota,Yaris,270000,diesel,1364,66,4300
1490,Toyota,Avensis,280000,diesel,1995,85,1600
1491,Toyota,Auris,69404,bencinski,1197,85,12250
1492,Toyota,Yaris,175906,bencinski,1298,64,3490
1493,Toyota,Yaris,33200,bencinski,1329,73,11700
1494,Toyota,Auris,57000,bencinski,1329,74,5850
1495,Toyota,Yaris,185000,bencinski,998,48,1750
1496,Toyota,Yaris,180000,bencinski,998,51,2790
1497,Toyota,Avensis,333200,diesel,1995,81,1490
1498,Toyota,Auris,189800,diesel,1998,93,3950
1499,Toyota,Yaris,107000,bencinski,1329,73,7490
1500,Toyota,Auris,150000,bencinski,1398,71,4890
1501,Toyota,Yaris,175763,diesel,1364,66,6100
1502,Toyota,Avensis,173468,diesel,2231,110,3990
