"id","id_model","prevozeni_kilometri","gorivo","velikost_motorja","kW","cena","zacetna_cena"
203,51,275000,"diesel",2204,103,6000,4500
204,52,82746,"diesel",1597,88,12290,9218
205,53,190000,"bencinski",1998,114,2890,2168
206,51,102000,"diesel",1597,88,18750,14062
207,53,135000,"bencinski",1998,114,4000,3000
208,52,115000,"diesel",1597,88,13790,10342
209,53,202336,"bencinski",1998,114,4500,3375
210,53,216000,"bencinski",2354,148,9390,7042
211,58,121503,"bencinski",1668,92,5999,4499
212,53,140850,"bencinski",1997,115,12990,9742
213,52,75981,"diesel",1597,88,11270,8452
214,53,281000,"diesel",2199,110,7850,5888
215,53,320000,"diesel",2204,103,3450,2588
216,55,12000,"bencinski",1318,75,13990,10492
217,51,229101,"diesel",2204,103,7280,5460
218,55,93000,"bencinski",1339,73,5490,4118
219,54,209806,"bencinski",1590,77,1599,1199
220,55,278083,"bencinski",1339,61,2000,1500
221,52,182000,"diesel",2204,103,4750,3562
222,59,87100,"bencinski",999,46,2990,2242
223,60,99800,"diesel",1685,85,11990,8992
224,61,62230,"bencinski",1248,62,6490,4868
225,62,71249,"bencinski",1368,74,10990,8242
226,60,78000,"diesel",1685,85,12500,9375
227,60,235395,"diesel",1991,103,5599,4199
228,60,110000,"diesel",1995,135,14990,11242
229,62,188000,"diesel",1396,66,5699,4274
230,63,68700,"bencinski",1396,73,7990,5992
231,63,14600,"bencinski",1396,80,3370,2528
232,60,119950,"diesel",1991,110,6999,5249
233,60,58420,"diesel",1685,85,16999,12749
234,60,71960,"bencinski",1591,99,14999,11249
235,60,79360,"diesel",1685,85,16999,12749
236,60,42860,"bencinski",1591,99,15999,11999
237,63,82200,"bencinski",1591,93,4750,3562
238,62,41400,"bencinski",1396,73,9690,7268
239,62,44000,"bencinski",1368,74,11490,8618
240,60,68700,"bencinski",1591,99,10999,8249
241,62,56849,"bencinski",1591,92,5690,4268
242,63,97691,"bencinski",1396,66,4800,3600
243,64,157141,"bencinski",1396,66,4690,3518
244,64,133000,"diesel",1582,94,5490,4118
245,62,122000,"bencinski",1396,80,3190,2392
246,65,300000,"diesel",2497,103,2700,2025
247,63,39050,"bencinski",1396,73,8999,6749
248,63,110000,"bencinski",1396,80,3890,2918
249,66,51533,"diesel",1685,104,20990,15742
250,60,87030,"diesel",1685,85,15999,11999
